"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","pide","willing_friend_ai_1","willing_romantic_ai_1","wtp_ai","true_ai_1","talk_listen_ai_1","not_judge_ai_1","feel_ai_1","understand_ai_1","body_ai_1","not_mutual_ai_1","nonMember_AI_1","willing_friend_h_1","willing_romantic_h_1","wtp_h","true_h_1","talk_listen_h_1","judge_h_1","understand_h_1","feel_h_1","body_h_1","mutual_h_1","nonMember_h_1","comp_1","comp_2","loneliness_1_1","loneliness_2_1","loneliness_3_1","sensation_1_1","sensation_2_1","sensation_3_1","sensation_4_1","sensation_5_1","sensation_6_1","sensation_7_1","sensation_8_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","PROLIFIC_PID","CONDITION"
"93",93,"2023-08-27 13:24:07","2023-08-27 13:26:39","0","Anonymized","100","151","1","2023-08-27 13:26:40","R_2EaBvhi3xn3ahJw","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","100","71","81","76","71","100","100","36","","","","","","","","","","","","1","2","0","0","7","100","77","62","40","100","88","100","71","1","Ai on Snapchat as well as replica","2","","3","","38","3","","100","Anonymized","1"
"94",94,"2023-08-27 13:22:29","2023-08-27 13:26:42","0","Anonymized","100","253","1","2023-08-27 13:26:42","R_R4e6IV3ntEjZe9j","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","0","5","30","73","51","90","20","100","60","39","","","","","","","","","","","","2","2","20","21","20","70","40","16","0","79","35","0","21","2","","2","","4","","31","1","","60","Anonymized","1"
"95",95,"2023-08-27 13:23:06","2023-08-27 13:26:43","0","Anonymized","100","217","1","2023-08-27 13:26:44","R_vd9qqSO5RReqRHj","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","67","50","4.00","58","85","77","66","40","99","60","55","","","","","","","","","","","","2","2","45","63","54","74","14","55","0","29","67","72","44","2","","2","","2","","22","3","","68","Anonymized","1"
"96",96,"2023-08-27 13:23:57","2023-08-27 13:26:52","0","Anonymized","100","175","1","2023-08-27 13:26:53","R_5cdFVDGiVwprMs1","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","5","0","2","100","0","60","100","100","100","100","10","","","","","","","","","","","","2","2","85","85","85","70","5","0","10","50","30","5","0","2","","2","","2","","32","4","","0","Anonymized","1"
"97",97,"2023-08-27 13:26:41","2023-08-27 13:27:19","0","Anonymized","100","38","1","2023-08-27 13:27:20","R_232Fuyh233Bzj5p","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"98",98,"2023-08-27 13:21:45","2023-08-27 13:27:22","0","Anonymized","100","337","1","2023-08-27 13:27:23","R_2cjgwUhfQvqqLqu","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0.00","67","0","0","50","9","100","50","100","1","2","70","62","70","60","40","0","50","70","60","22","0","2","","1","","3","","53","4","","0","Anonymized","2"
"99",99,"2023-08-27 13:22:24","2023-08-27 13:27:29","0","Anonymized","100","304","1","2023-08-27 13:27:29","R_1Du2tuVYFcnAdov","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0.00","19","50","50","50","50","100","50","29","1","2","71","71","71","71","29","0","0","19","8","0","0","2","","1","","3","","63","5","","61","Anonymized","2"
"100",100,"2023-08-27 13:23:40","2023-08-27 13:27:32","0","Anonymized","100","232","1","2023-08-27 13:27:33","R_1g8sZDvFyZWP7Uf","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","54","28","4.99","41","66","41","40","36","95","50","31","1","2","69","63","70","75","61","44","65","87","78","88","46","2","","2","","3","","26","2","","63","Anonymized","2"
"101",101,"2023-08-27 13:14:30","2023-08-27 13:27:51","0","Anonymized","100","801","1","2023-08-27 13:27:52","R_22WZukWA8HZxrtE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","0","3.99","80","65","50","80","50","100","80","0","","","","","","","","","","","","2","2","70","70","50","50","0","0","0","0","50","50","50","2","","2","","1","","31","4","","50","Anonymized","1"
"102",102,"2023-08-27 13:23:15","2023-08-27 13:28:09","0","Anonymized","100","293","1","2023-08-27 13:28:09","R_1I5BAICntY1KDCE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0","100","53","55","97","99","100","98","0","2","2","0","43","24","63","73","59","57","74","47","25","56","2","","2","","3","","30","3","","28","Anonymized","2"
"103",103,"2023-08-27 13:26:16","2023-08-27 13:28:59","0","Anonymized","100","163","1","2023-08-27 13:29:00","R_3s60EUbK4mIODJE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","10","0","0","72","36","24","63","78","100","80","20","1","2","72","78","78","77","95","35","60","59","78","0","72","2","","1","","3","","52","3","","96","Anonymized","2"
"104",104,"2023-08-27 13:24:57","2023-08-27 13:29:07","0","Anonymized","100","249","1","2023-08-27 13:29:08","R_21aZkMQAl6VoZhj","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","3","0","1.99","50","18","5","42","50","63","58","95","1","2","69","69","69","69","60","69","0","69","69","3","69","2","","2","","1","","34","3","","69","Anonymized","2"
"105",105,"2023-08-27 13:25:04","2023-08-27 13:29:12","0","Anonymized","100","247","1","2023-08-27 13:29:12","R_2PC1lt7quzh0mt8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","61","40","4.99","92","100","47","64","45","100","49","96","2","2","96","35","36","100","64","40","41","60","60","80","26","2","","1","","2","","23","3","","54","Anonymized","2"
"106",106,"2023-08-27 13:25:15","2023-08-27 13:29:57","0","Anonymized","100","282","1","2023-08-27 13:29:57","R_uljvJr7WMQrKqOZ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","10","2","25","0","68","100","0","0","33","84","","","","","","","","","","","","2","2","7","10","7","71","85","35","8","98","29","76","12","1","I am a teacher and I trried out an app to create questions for a YouTube video I showed in class with a sub.","1","","3","","45","5","","30","Anonymized","1"
"107",107,"2023-08-27 13:22:24","2023-08-27 13:30:05","0","Anonymized","100","460","1","2023-08-27 13:30:05","R_1DnAtMvEAAB5BEd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","62","72","3.00","100","71","80","100","0","100","62","22","","","","","","","","","","","","3","2","85","80","69","72","75","38","81","71","68","39","65","2","","1","","3","","54","1","","100","Anonymized","1"
"108",108,"2023-08-27 13:20:56","2023-08-27 13:30:18","0","Anonymized","100","562","1","2023-08-27 13:30:19","R_2QWdMt0BXmnKSl7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","3","0","0.30","70","100","79","100","25","100","89","27","","","","","","","","","","","","2","2","16","37","15","71","79","58","21","87","21","7","4","2","","2","","3","","35","5","","97","Anonymized","1"
"109",109,"2023-08-27 13:22:06","2023-08-27 13:30:31","0","Anonymized","100","504","1","2023-08-27 13:30:32","R_1HbgXsSCWgra6s8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","50","2","50","50","50","50","50","49","50","43","1","2","74","56","50","47","34","11","29","29","34","3","3","2","","1","","3","","43","4","","74","Anonymized","2"
"110",110,"2023-08-27 13:25:51","2023-08-27 13:31:24","0","Anonymized","100","332","1","2023-08-27 13:31:24","R_URe82OL8woWVhGV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","100","50","100","100","100","100","100","0","","","","","","","","","","","","2","2","0","0","0","100","18","0","0","100","0","0","0","2","","2","","3","","54","8","MFA","0","Anonymized","1"
"111",111,"2023-08-27 13:25:48","2023-08-27 13:31:34","0","Anonymized","100","345","1","2023-08-27 13:31:34","R_3JegjSrR8hTt4GE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","60","40","1","92","97","40","100","9","100","82","100","","","","","","","","","","","","2","2","60","71","71","82","50","0","0","60","0","0","0","2","","2","","3","","59","5","","92","Anonymized","1"
"112",112,"2023-08-27 13:28:34","2023-08-27 13:32:02","0","Anonymized","100","207","1","2023-08-27 13:32:03","R_1lsZdYyCNOnjFox","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","4","0","0","100","87","35","100","28","100","84","23","","","","","","","","","","","","2","2","34","59","64","0","41","14","95","64","62","0","71","2","","1","","3","","28","3","","67","Anonymized","1"
"113",113,"2023-08-27 13:31:40","2023-08-27 13:32:03","0","Anonymized","100","23","1","2023-08-27 13:32:03","R_3nAX1HuHZVMw6BX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"114",114,"2023-08-27 13:26:23","2023-08-27 13:32:09","0","Anonymized","100","345","1","2023-08-27 13:32:09","R_1LSe9cPcyFdyvbT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","60","0","3.00","40","40","100","40","40","100","50","50","1","2","0","0","0","0","80","0","0","80","40","0","0","2","","2","","3","","67","4","","55","Anonymized","2"
"115",115,"2023-08-27 13:29:09","2023-08-27 13:32:18","0","Anonymized","100","188","1","2023-08-27 13:32:19","R_2EhGONvbN40yaQi","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","20","0","1.00","60","60","10","29","100","100","29","100","2","2","30","0","10","81","81","0","0","63","32","0","0","2","","2","","3","","72","5","","60","Anonymized","2"
"116",116,"2023-08-27 13:29:34","2023-08-27 13:32:20","0","Anonymized","100","166","1","2023-08-27 13:32:21","R_2X4jPLn7Swtu3CI","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0","96","35","9","12","62","100","90","8","4","2","15","17","14","75","80","22","58","79","40","71","10","2","","2","","3","","22","4","","65","Anonymized","2"
"117",117,"2023-08-27 13:29:30","2023-08-27 13:32:20","0","Anonymized","100","169","1","2023-08-27 13:32:21","R_2PgRJGr20IjL2uq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","8","10","0","100","63","40","100","28","100","100","93","","","","","","","","","","","","2","2","68","71","71","0","61","70","56","100","59","82","100","2","","1","","3","","39","7","","8","Anonymized","1"
"118",118,"2023-08-27 13:20:35","2023-08-27 13:33:21","0","Anonymized","100","765","1","2023-08-27 13:33:21","R_1mg6Z4vNYKOPjqp","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","84","4","3","41","89","39","65","66","98","57","30","","","","","","","","","","","","2","2","69","72","72","100","21","84","78","90","50","40","71","2","","2","","4","","20","3","","91","Anonymized","1"
"119",119,"2023-08-27 13:29:40","2023-08-27 13:33:37","0","Anonymized","100","236","1","2023-08-27 13:33:37","R_3CBZPwtXlrs52OM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","4","8","1.00","96","64","77","87","26","100","98","19","","","","","","","","","","","","2","2","7","22","11","80","92","41","91","31","35","18","42","2","","1","","3","","25","5","","35","Anonymized","1"
"120",120,"2023-08-27 13:30:36","2023-08-27 13:33:43","0","Anonymized","100","187","1","2023-08-27 13:33:43","R_30pljm2p8IFulUq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","40","20","0.00","98","83","22","93","84","100","75","39","","","","","","","","","","","","2","2","71","55","56","18","3","15","15","75","33","14","79","2","","1","","3","","24","4","","72","Anonymized","1"
"121",121,"2023-08-27 13:29:21","2023-08-27 13:34:09","0","Anonymized","100","288","1","2023-08-27 13:34:10","R_3m1MSuIy9Py9UMR","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","9","0","0.00","86","19","25","15","15","95","50","50","1","2","10","10","10","25","10","0","0","25","30","0","5","2","","1","","3","","65","4","","10","Anonymized","2"
"122",122,"2023-08-27 13:28:57","2023-08-27 13:34:15","0","Anonymized","100","318","1","2023-08-27 13:34:15","R_3O6U2hF3miLTjqM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","40","20","0.99","75","44","45","30","64","95","91","40","1","2","45","25","35","70","55","40","35","55","45","29","55","2","","1","","5","","51","4","","55","Anonymized","2"
"123",123,"2023-08-27 13:32:11","2023-08-27 13:34:51","0","Anonymized","100","159","1","2023-08-27 13:34:51","R_3kbnD6IoGiabQQi","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","9","0","0","68","25","9","28","57","100","42","13","1","2","98","95","71","100","100","77","77","100","93","100","38","2","","2","","3","","27","4","","19","Anonymized","2"
"124",124,"2023-08-27 13:32:31","2023-08-27 13:34:56","0","Anonymized","100","144","1","2023-08-27 13:34:56","R_1lyRriSOyUCurRq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","31","0","2","0","50","44","0","0","62","0","31","1","2","0","61","58","86","62","77","40","28","49","73","35","2","","2","","4","","25","4","","0","Anonymized","2"
"125",125,"2023-08-27 13:29:48","2023-08-27 13:34:58","0","Anonymized","100","309","1","2023-08-27 13:34:58","R_2yftEW3xKCpqL4J","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","71","80","1.00","30","65","30","15","0","97","30","60","1","2","85","85","92","80","60","35","30","90","85","5","69","1","I've used Snapchat's AI for a few conversations","1","","3","","29","1","","95","Anonymized","2"
"126",126,"2023-08-27 13:33:08","2023-08-27 13:35:23","0","Anonymized","100","135","1","2023-08-27 13:35:24","R_2s4sdAD1mOZ4Nmm","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","68","17","1","73","74","90","71","21","96","76","67","","","","","","","","","","","","1","2","49","61","72","57","71","32","40","59","32","34","31","2","","2","","2","","22","4","","69","Anonymized","1"
"127",127,"2023-08-27 13:35:36","2023-08-27 13:35:55","0","Anonymized","100","18","1","2023-08-27 13:35:56","R_rdx5nmhI6LozkFX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"128",128,"2023-08-27 13:31:03","2023-08-27 13:36:07","0","Anonymized","100","304","1","2023-08-27 13:36:07","R_1gCKjCezGC9uyFU","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","11","0","2.00","75","41","40","40","75","100","65","86","1","2","5","13","3","78","34","63","58","39","33","90","30","2","","2","","3","","28","5","","81","Anonymized","2"
"129",129,"2023-08-27 13:32:07","2023-08-27 13:36:07","0","Anonymized","100","239","1","2023-08-27 13:36:08","R_2OUq2j0Ic5Malax","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","51","50","5","100","50","50","100","100","100","100","0","","","","","","","","","","","","2","2","83","73","66","73","65","10","8","50","32","11","0","1","It was a really early one ~15 years ago, I don't remember what it was called, it was ok, I talked with it for about 10 minutes and never went back because it felt empty.","1","","3","","40","3","","22","Anonymized","1"
"130",130,"2023-08-27 13:33:39","2023-08-27 13:36:18","0","Anonymized","100","158","1","2023-08-27 13:36:18","R_50CrAe8KseTNYXv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","63","61","0","94","80","17","74","7","92","16","71","","","","","","","","","","","","2","2","7","10","13","100","100","100","61","100","100","0","99","2","","1","","3","","29","4","","99","Anonymized","1"
"131",131,"2023-08-27 13:32:26","2023-08-27 13:36:25","0","Anonymized","100","239","1","2023-08-27 13:36:26","R_2vcytA8JMJY2wrl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","70","20","70","85","65","50","38","77","30","100","","","","","","","","","","","","2","2","89","93","100","88","79","21","8","95","12","5","0","2","","2","","3","","71","8","some high school","80","Anonymized","1"
"132",132,"2023-08-27 13:33:36","2023-08-27 13:36:26","0","Anonymized","100","169","1","2023-08-27 13:36:27","R_28N8bo2BDLsnYM1","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","0","0","100","100","65","100","32","100","100","94","","","","","","","","","","","","2","2","82","72","74","65","59","35","38","4","18","57","64","2","","2","","3","","24","4","","27","Anonymized","1"
"133",133,"2023-08-27 13:34:02","2023-08-27 13:36:39","0","Anonymized","100","156","1","2023-08-27 13:36:40","R_2ByZcHOnu0k5J5g","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","7","25","0","95","50","40","69","93","99","92","81","1","2","8","10","18","50","74","27","61","45","33","50","45","2","","1","","3","","31","7","","99","Anonymized","2"
"134",134,"2023-08-27 13:28:16","2023-08-27 13:36:39","0","Anonymized","100","503","1","2023-08-27 13:36:40","R_2ZDouaaVH0S6TcE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","20","10","7","40","25","30","25","0","70","50","40","1","2","5","25","20","70","30","30","10","100","50","0","0","2","","1","","1","","59","3","","60","Anonymized","2"
"135",135,"2023-08-27 13:30:00","2023-08-27 13:36:44","0","Anonymized","100","404","1","2023-08-27 13:36:45","R_2z7jMkSHqzkorDs","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","70","8","2","81","93","93","93","29","100","50","50","","","","","","","","","","","","2","2","97","50","92","92","92","60","2","93","50","0","19","2","","2","","3","","44","1","","100","Anonymized","1"
"136",136,"2023-08-27 13:34:10","2023-08-27 13:36:52","0","Anonymized","100","161","1","2023-08-27 13:36:52","R_2WPuB3GtGkI6nax","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","45","15","2.00","52","47","18","0","19","59","45","9","1","2","71","88","53","64","73","76","57","9","52","72","43","2","","2","","3","","22","3","","67","Anonymized","2"
"137",137,"2023-08-27 13:33:38","2023-08-27 13:37:00","0","Anonymized","100","201","1","2023-08-27 13:37:00","R_PG6gaSk9O5otMs1","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","30","10","0.00","90","94","75","95","70","100","80","95","","","","","","","","","","","","2","2","15","20","15","70","20","60","0","50","30","70","40","2","","1","","3","","27","5","","80","Anonymized","1"
"138",138,"2023-08-27 13:33:30","2023-08-27 13:37:08","0","Anonymized","100","217","1","2023-08-27 13:37:08","R_1q7MTiwsSA0Aztb","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","5.00","100","77","87","3","100","100","100","0","2","2","61","30","72","40","63","0","11","100","80","0","50","2","","2","","1","","26","4","","48","Anonymized","2"
"139",139,"2023-08-27 13:30:31","2023-08-27 13:37:12","0","Anonymized","100","400","1","2023-08-27 13:37:12","R_wRvzKX9VMeML9NT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","21","3","4","94","91","50","94","71","100","50","91","","","","","","","","","","","","2","2","100","100","96","3","83","1","1","92","1","0","2","2","","2","","3","","62","4","","92","Anonymized","1"
"140",140,"2023-08-27 13:33:13","2023-08-27 13:37:42","0","Anonymized","100","269","1","2023-08-27 13:37:43","R_21t5ZhVvYrrRgub","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","20","10","0","75","70","20","39","10","100","50","30","1","2","40","35","50","40","60","30","30","60","60","10","30","2","","2","","3","","44","4","","60","Anonymized","2"
"141",141,"2023-08-27 13:35:57","2023-08-27 13:38:01","0","Anonymized","100","124","1","2023-08-27 13:38:02","R_2EmEyitecDKAjJF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","64","44","2","59","43","23","11","57","87","61","24","1","2","32","65","62","65","74","100","70","100","78","64","59","2","","1","","2","","25","4","","62","Anonymized","2"
"142",142,"2023-08-27 13:31:55","2023-08-27 13:38:04","0","Anonymized","100","369","1","2023-08-27 13:38:05","R_VUc2jQhWdKLUl21","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","29","2","30","23","7","60","20","84","21","20","1","2","62","32","65","77","67","22","10","15","32","70","9","2","","2","","3","","37","3","","16","Anonymized","2"
"143",143,"2023-08-27 13:35:28","2023-08-27 13:38:06","0","Anonymized","100","158","1","2023-08-27 13:38:06","R_2f9dWeFAffouf1E","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","4","0","0","73","65","50","58","60","94","50","94","2","2","0","0","0","75","16","8","7","0","71","0","44","2","","1","","3","","37","4","","33","Anonymized","2"
"144",144,"2023-08-27 13:28:59","2023-08-27 13:38:42","0","Anonymized","100","582","1","2023-08-27 13:38:42","R_1LVdzwiDMeh2OwV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","100","50","50","100","100","100","50","100","","","","","","","","","","","","2","2","40","35","40","10","0","0","50","0","0","0","50","2","","1","","3","","35","3","","90","Anonymized","1"
"145",145,"2023-08-27 13:36:06","2023-08-27 13:38:43","0","Anonymized","100","157","1","2023-08-27 13:38:44","R_2TGb2gBEMntMLFx","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","61","24","0","53","86","89","90","66","99","78","75","","","","","","","","","","","","2","2","35","56","64","76","35","24","11","27","40","25","21","2","","1","","2","","34","7","","58","Anonymized","1"
"146",146,"2023-08-27 13:35:37","2023-08-27 13:39:03","0","Anonymized","100","206","1","2023-08-27 13:39:04","R_2CVSWSefD7v9OMK","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","0","5","50","80","64","40","12","100","22","67","","","","","","","","","","","","2","2","36","59","0","73","100","25","0","62","40","82","33","2","","1","","3","","24","3","","80","Anonymized","1"
"147",147,"2023-08-27 13:36:56","2023-08-27 13:39:24","0","Anonymized","100","147","1","2023-08-27 13:39:24","R_3mdY4MlOXMQiwIn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","84","32","3","74","84","58","76","60","100","31","91","","","","","","","","","","","","2","2","39","38","51","50","59","53","27","56","43","60","59","2","","1","","3","","43","5","","64","Anonymized","1"
"148",148,"2023-08-27 13:32:34","2023-08-27 13:39:26","0","Anonymized","100","411","1","2023-08-27 13:39:27","R_2azbLmzhJW7k7vk","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","82","78","5","71","76","68","100","27","100","100","17","","","","","","","","","","","","1","2","90","66","74","78","34","27","72","87","92","73","70","2","","1","","3","","57","4","","31","Anonymized","1"
"149",149,"2023-08-27 13:36:21","2023-08-27 13:39:27","0","Anonymized","100","185","1","2023-08-27 13:39:27","R_3nT2tAoF3RNIEug","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","100","50","100","100","100","100","100","29","","","","","","","","","","","","2","2","0","30","35","100","67","37","65","79","19","5","61","2","","1","","3","","36","1","","69","Anonymized","1"
"150",150,"2023-08-27 13:33:42","2023-08-27 13:39:30","0","Anonymized","100","347","1","2023-08-27 13:39:30","R_XIm5APaXwzfIDtL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","50","0","80","100","30","0","0","80","0","50","1","2","20","20","20","100","100","50","30","80","70","50","70","2","","2","","2","","43","4","","50","Anonymized","2"
"151",151,"2023-08-27 13:28:23","2023-08-27 13:39:32","0","Anonymized","100","668","1","2023-08-27 13:39:32","R_2CcSZe0soH6PLJW","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","0","0","100","60","50","100","30","100","80","50","","","","","","","","","","","","1","2","10","10","0","85","80","60","20","80","30","90","70","2","","1","","4","","23","3","","100","Anonymized","1"
"152",152,"2023-08-27 13:35:51","2023-08-27 13:39:38","0","Anonymized","100","227","1","2023-08-27 13:39:38","R_296UNBEXgjxnUek","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","72","52","5","55","55","56","44","40","64","44","43","2","2","36","47","47","56","65","56","41","58","58","41","47","1","chat gbt","2","","4","","28","5","","54","Anonymized","2"
"153",153,"2023-08-27 13:33:37","2023-08-27 13:39:49","0","Anonymized","100","372","1","2023-08-27 13:39:50","R_247NQtCN2Cq3MhX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","15","10","3.00","0","0","0","0","0","100","0","37","1","2","50","72","60","86","50","20","0","0","10","10","20","2","","4","Nonbinary","3","","30","4","","70","Anonymized","2"
"154",154,"2023-08-27 13:32:51","2023-08-27 13:40:04","0","Anonymized","100","433","1","2023-08-27 13:40:05","R_0W0MzIKInuHnZ6x","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","62","0","0","75","30","0","15","0","100","29","9","1","2","24","5","0","80","76","0","0","74","69","0","0","2","","2","","3","","32","4","","57","Anonymized","2"
"155",155,"2023-08-27 13:25:00","2023-08-27 13:25:40","0","Anonymized","100","39","1","2023-08-27 13:40:41","R_2bWBmZxF3bpefJO","","","","","Anonymized","Anonymized","anonymous","EN","2","","","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"156",156,"2023-08-27 13:36:48","2023-08-27 13:40:42","0","Anonymized","100","233","1","2023-08-27 13:40:42","R_1QN8xRvCSdy01Ya","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","9.99","50","90","80","75","50","100","0","0","1","2","0","0","0","70","80","0","0","100","0","0","0","2","","2","","3","","63","1","","20","Anonymized","2"
"157",157,"2023-08-27 13:36:51","2023-08-27 13:40:42","0","Anonymized","100","230","1","2023-08-27 13:40:43","R_2pJpYNhqJQpxo5I","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0","40","60","50","50","50","50","50","70","1","2","50","50","80","20","20","0","0","0","0","0","0","2","n/a","1","","3","","40","1","","30","Anonymized","2"
"158",158,"2023-08-27 13:32:24","2023-08-27 13:40:43","0","Anonymized","100","499","1","2023-08-27 13:40:43","R_QmnsOU7EnsKLlex","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","80","0","1","0","65","20","0","0","100","30","20","1","2","0","0","0","80","85","10","10","30","50","90","0","1","I have used ChatGBT, although I am unsure if this counts.","1","","4","","22","4","","90","Anonymized","2"
"159",159,"2023-08-27 13:37:51","2023-08-27 13:40:49","0","Anonymized","100","177","1","2023-08-27 13:40:49","R_RxzwA0ujHj0bpDz","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","15","5","1","100","100","47","81","6","100","100","0","","","","","","","","","","","","2","2","29","53","36","76","68","11","34","78","37","0","9","2","","1","","3","","30","7","","78","Anonymized","1"
"160",160,"2023-08-27 13:33:25","2023-08-27 13:40:58","0","Anonymized","100","452","1","2023-08-27 13:40:59","R_AnEf9mYp1AQkKVr","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","64","38","1.00","95","41","50","91","36","95","81","87","","","","","","","","","","","","2","2","20","11","9","81","36","34","50","84","61","9","23","2","N/A","1","","1","","44","4","","83","Anonymized","1"
