"","X","Unnamed..0.1","Unnamed..0","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","SumHumanCharCount","SumAICharCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","AvgSimSpacy","AvgSimTurnLength","AvgSimValence","AvgSimStyleMatching"
"22",21,184,492,"ai","yes",75,57,5,18,100,100,0,73,100,2,2,NA,22,"",39,0,0,2,"",1,NA,3,NA,30,2,NA,46,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",37,32,"[5, 14, 12, 3, 4, 1, 7, 1, 14, 1, 2, 3, 4, 4, 11, 5, 8, 1, 1, 2, 4, 1, 3, 9, 2, 1, 6, 3, 1, 5, 7, 5, 6, 14, 6, 4, 6]","[5, 18, 13, 13, 15, 14, 9, 13, 13, 22, 5, 8, 8, 21, 21, 13, 18, 18, 19, 13, 19, 13, 15, 12, 15, 12, 25, 24, 21, 31, 25, 21]",5.02702702702703,16,877,2639,"[4.616591, 24.908115000000002, 24.342989, 10.751657999999999, 2.5280310000000004, 15.967318999999998, 0.08018900000000073, 10.175533999999999, 0.5883539999999998, 12.279671, -2.4372540000000003, 6.4323570000000005, 1.7979919999999998, -4.277823999999999, 5.277271000000001, 18.469614, 14.049656, 8.015740000000003, 54.078403, -2.7184429999999997, -8.940446000000001, -4.401752999999999, 3.891698999999999, 22.075976, 37.825115, 39.994855, 14.302919000000003, -2.0872209999999995, -9.981428999999999, -13.169164, 1.1476220000000001]","[0.0, 0.8436, 0.0, 0.0, 0.7473, 0.5885, 0.7257, 0.0, 0.8074, 0.7003, 0.0, 0.4588, 0.4588, 0.802, 0.802, 0.0, 0.8436, 0.8436, 0.7256, 0.7906, 0.7256, 0.5106, 0.2263, 0.2263, 0.8777, 0.6369, 0.2047, 0.0, 0.8979, 0.743, 0.871, 0.8625]","[0.6588, 0.8908, 0.0, 0.4588, 0.0, 0.6249, 0.743, 0.6239, -0.0752, 0.4019, 0.4199, 0.743, -0.5106, 0.0, 0.7568, 0.2263, 0.34, 0.4019, 0.0, 0.4404, 0.4588, -0.296, 0.0772, 0.6115, 0.3612, 0.0, 0.0772, 0.0, 0.0, 0.5994, 0.2263, 0.7698, -0.0772, 0.7269, -0.7177, 0.4588, 0.4588]",0.528759375,0.294043243243243,9.21239148387097,56.7281278664185,45.261948602776,83.9555660601661,78.3592020313686
"23",22,185,511,"ai","yes",70,0,5,50,81,71,60,18,100,2,2,NA,23,"",36,43,64,2,"",2,NA,5,NA,35,2,NA,80,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",16,17,"[7, 13, 16, 21, 2, 9, 10, 8, 9, 2, 14, 20, 32, 22, 5, 1]","[5, 23, 19, 16, 15, 7, 12, 25, 12, 2, 1, 7, 20, 32, 17, 2, 1]",11.9375,12.7058823529412,930,1043,"[14.972968999999999, 27.145029, 28.073456, 50.728409, 15.883296000000001, 22.449758, 39.42416, 42.098171, 20.556264000000002, 35.345741, 52.79156, 87.39744499999999, 65.59407, 44.199881000000005, 23.637529000000004, 51.525253]","[0.0, 0.8316, 0.9081, 0.81, 0.7088, 0.0, 0.7755, 0.8975, 0.8652, 0.0, 0.0, 0.6696, 0.7845, 0.4019, 0.9183, 0.0, 0.0]","[0.2732, 0.3182, 0.6369, 0.1045, -0.636, 0.0, 0.4199, 0.6588, 0.4738, 0.0, 0.3612, 0.4753, -0.4772, 0.0, 0.5983, 0.0]",0.504176470588235,0.20043125,38.8639369375,71.880279647968,71.3296556108141,82.7130783939785,79.3471774946466
"24",23,186,522,"human","yes",70,0,0,50,60,50,70,100,10,1,2,1,24,"I was skeptical at first. But when I started talking about my organ transplant, the responses seemed to come from a human. I brought that up purposely to see if they would understand something unusual about my life. It is true. I did have a heart transplant. ",0,20,30,2,"",2,NA,3,NA,47,5,NA,20,1,1,1,"Anonymized","Anonymized","Anonymized",9,8,"[3, 13, 10, 18, 42, 34, 51, 25, 18]","[25, 20, 22, 37, 54, 60, 63, 38]",23.7777777777778,39.875,1090,1751,"[24.079701999999997, 27.332465999999997, 15.615833000000002, 48.234049, 98.04493099999999, 237.47890999999998, 63.706349, 107.85824699999999]","[0.7702, -0.4667, 0.8436, 0.9105, 0.9649, 0.9797, 0.9869, 0.9427]","[0.0, 0.0, 0.3595, 0.8442, 0.9026, 0.8954, 0.8072, 0.743, -0.1531]",0.741475,0.488755555555555,77.793810875,87.3564150507295,71.0141957317726,86.6929311919362,80.2170448520965
"25",24,187,532,"ai","yes",60,5,5,70,91,61,70,90,100,2,2,NA,25,"",0,18,76,2,"",1,NA,3,NA,33,3,NA,80,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",12,13,"[4, 9, 11, 16, 17, 6, 18, 14, 6, 26, 18, 16]","[5, 8, 9, 18, 30, 18, 20, 38, 31, 22, 47, 32, 21]",13.4166666666667,23,854,1647,"[-2.933488, 16.831616, 18.758888000000002, 40.236683, 34.827182, 0.2114210000000014, 69.314453, 32.658962, 37.511819, 111.71048499999999, 55.518432000000004, 105.427183]","[0.0, 0.4404, 0.6588, 0.5423, 0.5569, 0.7964, 0.0, 0.7783, 0.765, 0.0, 0.8847, 0.6808, 0.4404]","[0.0, 0.4404, 0.0, 0.7462, 0.8402, 0.0, 0.0, 0.3612, 0.0, 0.836, 0.0516, 0.7579]",0.503384615384615,0.336125,43.3394696666667,80.9236572207885,70.9950417802409,87.608490270397,71.147975781295
"26",25,188,552,"ai","yes",0,0,0,100,0,50,100,50,100,2,2,NA,26,"",65,50,75,2,"",1,NA,3,NA,35,4,NA,100,2,1,1,"Anonymized","Anonymized","Anonymized",15,15,"[1, 2, 8, 3, 16, 22, 9, 17, 20, 23, 2, 11, 5, 11, 5]","[5, 8, 29, 14, 17, 32, 19, 28, 26, 27, 36, 29, 18, 31, 36]",10.3333333333333,23.6666666666667,797,1881,"[-2.936806, 34.779696, 54.853691000000005, 33.75505, 45.767403, 33.480929, 58.559399, 49.73846699999999, 52.943383, 13.602381000000005, 50.083540000000006, 40.513630000000006, 19.415367, 34.774125]","[0.0, 0.6588, 0.5838, 0.4574, 0.8588, 0.4753, 0.7997, 0.3903, 0.8762, 0.8553, 0.9319, 0.9041, 0.0, 0.7003, 0.9178]","[0.0, 0.4404, 0.0772, 0.2263, -0.4201, 0.3182, 0.1139, -0.7906, 0.4939, 0.0, 0.0, 0.1779, 0.0, 0.4576, 0.0]",0.627313333333333,0.07298,37.0950182142857,73.279846601933,58.9339504302499,75.7755207968759,88.8080694693708
"27",26,189,562,"ai","yes",90,0,4.99,75,55,75,100,10,100,2,2,NA,27,"",5,5,5,2,"",1,NA,3,NA,34,2,NA,25,2,1,2.79009141212736,"Anonymized","Anonymized","Anonymized",18,17,"[1, 11, 15, 7, 26, 5, 13, 6, 37, 6, 27, 7, 42, 10, 18, 29, 9, 12]","[5, 12, 11, 25, 17, 69, 2, 6, 33, 11, 26, 20, 33, 27, 8, 23, 22]",15.6111111111111,20.5882352941176,1466,1838,"[-2.943732, 16.616497, 29.892027999999996, -12.669834999999999, 28.554655999999998, -23.207351, 19.629593, 2.0473110000000005, 73.680338, 28.588501, 60.86361899999999, 9.330684999999999, 53.648065, 16.254630000000002, 1.138458, 52.035923, 21.910464]","[0.0, 0.5707, 0.6588, 0.7345, 0.8122, 0.5848, 0.5093, 0.7997, 0.9683, 0.7703, 0.9267, 0.8735, 0.9545, 0.9459, 0.6588, 0.9215, 0.9615]","[0.0, 0.7251, 0.2247, 0.3919, 0.636, 0.8402, 0.8169, 0.4588, 0.9403, 0.7184, 0.9311, 0.6115, 0.9709, 0.8745, 0.4576, 0.872, 0.7901, 0.7096]",0.744176470588235,0.664977777777778,22.0805794117647,77.4250843938088,65.1462528037113,93.5051721038019,88.0914301903286
"28",27,190,572,"human","yes",60,0,2,59,100,95,18,8,100,1,2,1,28,"It seemed as though they were paying attention to small comments that I made.",0,27,31,2,"",2,NA,3,NA,64,4,NA,91,1,1,2.09861228866811,"Anonymized","Anonymized","Anonymized",7,8,"[4, 11, 20, 13, 36, 32, 34]","[5, 13, 12, 19, 19, 22, 20, 23]",21.4285714285714,16.625,761,696,"[23.193712, 45.512844, 79.93513, 77.83793399999999, 106.22093299999999, 151.469152, 195.792933]","[0.0, 0.8519, 0.8746, 0.9271, 0.4927, 0.9163, 0.9467, 0.9593]","[0.7269, 0.0, -0.128, -0.1027, 0.7325, 0.9485, 0.8687]",0.746075,0.435128571428571,97.1375197142857,78.0706184640568,83.1727183079957,82.5871887654571,62.6417916773819
"29",28,191,58,"human","yes",30,0,0,49,84,57,18,0,100,1,2,1,29,"They where able to aknowledge and add to some topics we where discussing ",0,0,5,2,"",2,NA,3,NA,55,1,NA,45,1,1,1,"Anonymized","Anonymized","Anonymized",7,7,"[28, 18, 16, 23, 25, 34, 43]","[22, 27, 19, 26, 27, 27, 31]",26.7142857142857,25.5714285714286,978,993,"[40.522544999999994, 74.104204, 91.171082, 75.048523, 105.685105, 200.064886]","[0.1635, 0.9192, 0.623, 0.861, 0.8379, 0.8718, 0.8534]","[-0.3919, 0.2732, -0.4939, 0.7717, 0.128, 0.3612, -0.296]",0.732828571428571,0.0503285714285714,97.7660575,86.5099285356015,87.7149225054948,73.6855152592303,55.1133280959775
"30",29,192,591,"ai","yes",100,0,3,25,100,98,35,0,100,2,2,NA,30,"",60,25,40,2,"",2,NA,3,NA,50,1,NA,95,2,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",9,10,"[22, 25, 25, 24, 34, 12, 37, 19, 12]","[5, 56, 15, 22, 26, 21, 19, 23, 8, 66]",23.3333333333333,26.1,1070,1430,"[50.764947, 71.509109, 75.715051, 92.27216899999999, 73.755503, 83.898667, 32.818667000000005, 17.118541999999998, 35.915886]","[0.0, 0.7752, 0.784, 0.8881, 0.3582, 0.915, 0.8851, 0.8655, 0.807, 0.9107]","[0.3182, 0.8979, 0.9348, 0.8748, -0.296, 0.7531, 0.5256, 0.7269, 0.6662]",0.71888,0.600166666666667,59.3076156666667,78.9687242277273,74.1349433621386,89.9930661341308,75.7753857890885
"31",30,193,622,"ai","yes",20,0,1.5,85,60,86,93,27,100,2,2,NA,31,"",40,24,38,2,"",1,NA,3,NA,50,3,NA,66,2,1,1.91629073187416,"Anonymized","Anonymized","Anonymized",17,17,"[5, 29, 4, 5, 7, 24, 14, 7, 4, 16, 6, 6, 2, 20, 14, 8, 5]","[5, 14, 28, 26, 6, 24, 21, 17, 21, 17, 25, 22, 14, 25, 27, 17, 17]",10.3529411764706,19.1764705882353,891,1670,"[5.5393810000000006, 39.717412, 44.1383, 59.347083, 22.018726, 31.312866, 20.855708, 59.120678000000005, 19.705135000000002, 36.483102, 23.132420999999997, 38.645479, 23.632238, 47.129380999999995, 35.838863]","[0.0, 0.3595, 0.7901, 0.7897, 0.0, 0.8718, 0.6892, 0.8168, 0.6124, 0.2681, 0.9245, 0.9347, 0.8622, 0.9674, 0.7684, 0.7901, 0.9059]","[-0.2748, 0.7518, 0.4019, 0.0, 0.3612, 0.0, 0.8807, 0.4753, 0.3612, -0.4097, 0.4588, 0.4019, 0.4215, 0.6696, 0.4404, 0.7184, 0.0]",0.667694117647059,0.332835294117647,33.7744515333333,73.897398370367,58.6809624115619,84.8379477237951,62.1026429876752
"32",31,194,632,"ai","yes",20,0,0.25,95,95,95,100,25,100,2,2,NA,32,"",9,9,8,2,"",1,NA,3,NA,35,3,NA,90,2,1,1.22314355131421,"Anonymized","Anonymized","Anonymized",17,18,"[4, 9, 5, 7, 26, 5, 11, 14, 14, 8, 5, 8, 4, 4, 27, 11, 4]","[5, 9, 40, 9, 7, 31, 8, 40, 9, 22, 23, 15, 26, 26, 4, 23, 12, 3]",9.76470588235294,17.3333333333333,870,1625,"[-0.27484699999999984, 25.608367, 54.229204, 12.529298, 82.874309, 37.482176, 46.917291000000006, -4.299841999999998, 39.578432, 54.267963, 53.571675, -12.328057999999999, 2.0798620000000003]","[0.0, 0.69, 0.7358, 0.0, 0.4574, 0.936, 0.3612, 0.9306, 0.5994, 0.722, 0.5848, 0.7574, 0.8858, 0.9292, 0.4588, 0.8625, 0.8353, 0.4574]","[0.0, 0.4404, 0.0, 0.0, 0.3612, 0.0, 0.7958, 0.644, 0.7717, 0.4588, 0.5106, 0.34, 0.7003, 0.4588, 0.3637, 0.0, 0.659]",0.622422222222222,0.382605882352941,30.1719869230769,74.8555841073054,61.5147547976549,88.8328219428943,85.1049053138993
"33",32,195,642,"ai","yes",52,20,1,86,85,91,60,19,100,2,2,NA,33,"",4,4,4,2,"",2,NA,3,NA,45,2,NA,71,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",12,13,"[5, 12, 17, 8, 7, 8, 10, 9, 2, 15, 3, 3]","[5, 19, 44, 28, 2, 22, 16, 29, 2, 14, 54, 7, 2]",8.25,18.7692307692308,468,1308,"[11.761765, 32.806155000000004, 44.989371, 24.939505, 41.345988, 23.423727000000003, 94.22847200000001, 72.985187, 36.224844999999995, 44.118285, 35.189675, 27.910245]","[0.0, 0.883, 0.9745, 0.9708, 0.0, 0.831, 0.9044, 0.9735, 0.0, 0.6239, 0.8908, 0.8264, 0.5093]","[0.4404, 0.5574, 0.8591, 0.8805, 0.0, 0.3612, 0.4329, 0.4199, 0.0, 0.7717, 0.4404, 0.4926]",0.6452,0.471341666666667,40.826935,75.0019114384598,55.5483305618508,88.2009304724708,77.2377453222505
"34",33,196,672,"ai","yes",65,0,3,50,80,50,50,8,90,2,2,NA,34,"",55,65,65,2,"",2,NA,3,NA,36,3,NA,70,2,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",18,19,"[2, 6, 1, 1, 7, 12, 11, 30, 24, 10, 6, 22, 13, 3, 6, 4, 5, 2]","[5, 11, 27, 13, 11, 29, 31, 26, 21, 16, 21, 16, 26, 22, 26, 20, 8, 9, 5]",9.16666666666667,18.0526315789474,825,1766,"[15.914024999999999, -5.277949, -2.1311979999999995, 0.36878299999999964, 6.186191000000001, -17.317072999999997, 42.833362, 77.60598200000001, 19.692888000000004, -5.408302, 51.128363, 45.270237, 21.276899000000004, 0.6308190000000007, 35.767918, 25.60781]","[0.0, 0.6588, 0.9115, 0.296, -0.7269, 0.7778, 0.8898, 0.8687, 0.8932, 0.8169, 0.9458, 0.8687, 0.9292, 0.9349, 0.5878, 0.9001, 0.4926, 0.0, 0.6588]","[0.0, 0.2732, 0.0, 0.0, -0.25, 0.4574, 0.3612, 0.8109, 0.2714, 0.7221, 0.4754, 0.4101, 0.743, 0.4019, 0.5106, 0.3612, 0.4754, 0.0]",0.615984210526316,0.334655555555555,19.5092971875,77.8504082439446,58.1370067145525,84.6317348841589,63.9128198797231
"35",34,197,682,"human","yes",85,20,5,100,100,95,100,90,100,1,2,1,35,"It felt like interacting with a human.",70,65,65,2,"",2,NA,2,NA,54,4,NA,95,1,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",5,5,"[12, 14, 20, 4, 3]","[20, 22, 15, 14, 4]",10.6,15,247,370,"[116.117591, 235.36845000000002, 39.337815, 40.918052]","[0.094, 0.7778, 0.784, 0.7506, 0.0]","[0.5859, 0.5325, 0.0, 0.8016, 0.5411]",0.48128,0.49222,107.935477,71.9960021488495,67.6177838910037,85.8905127415113,70.5251860679333
"36",35,198,702,"ai","yes",54,56,10,55,42,59,60,58,58,2,2,NA,36,"",60,57,58,2,"",1,NA,3,NA,28,1,NA,55,2,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",28,26,"[5, 5, 4, 5, 1, 3, 6, 5, 4, 5, 6, 7, 9, 3, 3, 10, 2, 3, 3, 5, 4, 4, 5, 9, 7, 1, 2, 3]","[5, 20, 21, 6, 28, 10, 15, 6, 14, 1, 5, 17, 4, 8, 15, 31, 10, 5, 8, 6, 10, 2, 15, 16, 2, 2]",4.60714285714286,10.8461538461538,568,1373,"[61.31984, 21.405476, 28.933257999999995, 17.320126, 6.695430999999999, -5.163045, 18.310665, -3.928534, 16.051849, 45.147206999999995, 28.118526000000003, 6.729876, -2.617298, 58.515553999999995, 26.339605, 16.550127, 21.855072, 34.420438, 31.614579000000003, 10.924128, 13.542008000000001, 10.254836000000001, 16.559245]","[0.0, 0.9168, 0.8779, 0.0, 0.8172, 0.4376, -0.2411, 0.4199, 0.807, 0.0, 0.34, 0.6486, 0.3182, 0.0772, -0.3818, -0.2732, -0.296, 0.6369, 0.6239, 0.3612, 0.6705, 0.6239, 0.6369, 0.2263, 0.4019, 0.4019]","[0.7783, 0.6369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4588, 0.0, 0.0, 0.128, 0.4019, 0.3612, 0.0, 0.0, -0.1027, 0.3612, 0.6369, 0.6369, 0.0, 0.0, 0.0, 0.0, 0.7769, 0.0, 0.0, 0.0, 0.0]",0.348142307692308,0.181225,20.8216943043478,58.3822997445465,56.7785645078912,83.5067360609202,63.8902917117292
"37",36,199,722,"human","yes",70,4,5,16,99,59,12,17,98,1,2,1,37,"The first response I received seemed a little weird, but after that everything was so personal sounding that I for sure think it was a human.",96,75,89,2,"",2,NA,3,NA,30,4,NA,81,1,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",10,10,"[12, 4, 17, 45, 22, 5, 12, 12, 35, 11]","[25, 8, 28, 45, 33, 10, 31, 44, 44, 13]",17.5,28.1,891,1471,"[73.781456, 40.006067, 80.567079, 65.715141, 55.144491, 44.24196, 30.617637000000006, 52.841705999999995, 53.06463300000001]","[0.69, 0.7901, 0.857, 0.8876, 0.906, 0.5994, 0.8809, 0.8268, 0.9681, 0.908]","[-0.5331, 0.5093, 0.2732, 0.528, 0.7717, 0.0, 0.6588, 0.6573, 0.5916, 0.8221]",0.83139,0.42789,55.1089077777778,82.2872549003671,67.1670984149193,87.9958937421243,65.7078756851566
"38",37,200,732,"ai","yes",100,0,5,25,90,100,100,80,100,2,2,NA,38,"",80,75,75,2,"",2,NA,3,NA,33,3,NA,60,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",18,19,"[1, 4, 21, 4, 28, 13, 19, 17, 21, 6, 22, 11, 28, 34, 22, 26, 13, 29]","[5, 25, 5, 21, 4, 38, 27, 24, 15, 29, 5, 28, 30, 28, 23, 32, 35, 11, 17]",17.7222222222222,21.1578947368421,1515,2094,"[1.0515910000000002, 33.780037, 47.385555000000004, 48.026577, 27.373599000000002, 34.2186, 65.818474, 45.601669, 55.593022000000005, 60.454566, 44.957954, 101.276463, 39.152285000000006, 37.553539, 60.456796000000004]","[0.0, 0.9323, 0.0, 0.9612, 0.4588, 0.9622, 0.9131, 0.915, 0.9282, 0.9343, 0.3612, 0.9176, 0.9298, 0.97, 0.92, 0.908, 0.9403, 0.34, 0.6879]","[0.0, 0.0, 0.4404, 0.0, 0.4129, 0.6597, 0.5859, 0.5859, 0.4767, 0.34, 0.1882, 0.3612, -0.0754, 0.9551, 0.8354, 0.6369, 0.636, 0.7579]",0.735784210526316,0.433155555555556,46.8467151333333,79.9864213998239,77.1873341086742,87.2410515312597,79.510973136217
"39",38,201,742,"ai","yes",0,0,0,100,50,100,100,1,100,2,2,NA,39,"",67,82,87,2,"",1,NA,3,NA,34,3,NA,50,2,1,1,"Anonymized","Anonymized","Anonymized",26,25,"[1, 4, 2, 5, 10, 10, 4, 1, 10, 1, 2, 7, 1, 4, 6, 1, 2, 1, 10, 1, 1, 5, 13, 9, 5, 2]","[5, 10, 10, 25, 35, 8, 12, 12, 20, 66, 18, 40, 12, 13, 32, 14, 65, 17, 3, 18, 50, 9, 55, 13, 11]",4.53846153846154,22.92,540,3051,"[13.965803000000001, 28.93387, 5.278122, -14.826408, 11.202221000000002, 8.744443, -2.4246719999999993, 4.76172, 20.650206000000004, -1.0041949999999993, -0.23883099999999935, -0.8577940000000002, -9.364756, 2.0199920000000002, -34.110822, 37.867324, -6.823785999999998, 34.76991099999999, -0.17131099999999932, 17.919781999999998]","[0.0, 0.5574, 0.8172, 0.9273, 0.7263, 0.5411, 0.7232, 0.0, 0.9531, 0.9121, 0.7269, 0.9008, 0.0, 0.0, 0.8588, 0.7906, 0.9449, 0.7269, 0.4588, 0.4939, -0.4199, 0.0, 0.9721, 0.807, 0.7351]","[0.0, 0.6249, 0.4404, 0.0, -0.0516, 0.7506, 0.7531, 0.6249, 0.3612, 0.4215, 0.0, 0.0, 0.3182, 0.6249, 0.296, 0.0, 0.3182, 0.4215, 0.4404, 0.4019, 0.3182, 0.0, 0.0, 0.0, 0.0, 0.4404]",0.566144,0.288642307692308,5.81454095,52.9163470263296,33.6721635386693,85.528750280892,74.842351913098
"40",39,202,752,"ai","yes",0,0,5,100,100,71,100,0,100,2,2,NA,40,"",0,0,0,2,"",1,NA,5,NA,41,3,NA,100,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",13,13,"[5, 3, 13, 6, 10, 26, 11, 19, 21, 11, 16, 15, 1]","[5, 10, 10, 14, 15, 20, 39, 22, 19, 34, 36, 19, 20]",12.0769230769231,20.2307692307692,761,1407,"[15.870961000000001, 24.698034, 13.011192999999999, -5.837372, 30.007699000000002, 53.853337999999994, 63.455566999999995, 64.289046, 65.44721899999999, 37.068216, 55.00134200000001, 46.156225, 10.789432999999999]","[0.0, 0.7345, 0.7345, 0.695, 0.7574, 0.8975, 0.3164, 0.9071, 0.6588, 0.8436, 0.8908, 0.8953, 0.9078]","[0.4404, 0.0, 0.5849, 0.0, 0.7184, 0.6808, 0.7964, 0.7269, 0.8979, -0.6486, 0.5574, -0.1027, 0.6249]",0.710669230769231,0.4059,36.4469923846154,74.8273534436493,66.717414020035,82.5793752763115,80.4259692167079
"41",40,203,762,"human","yes",70,80,0,60,30,25,65,71,100,1,2,1,41,"If it was a chatbot, it was pretty good AI.  I asked a specific question and the response seemed like a real person was responding.",0,0,0,2,"",1,NA,2,NA,56,6,NA,90,1,1,1,"Anonymized","Anonymized","Anonymized",8,8,"[5, 12, 26, 42, 22, 35, 25, 12]","[5, 13, 6, 28, 32, 19, 30, 20]",22.375,19.125,874,827,"[16.07168, 43.962241000000006, 117.090799, 141.804126, 99.65084999999999, 91.244323, 88.070991, 53.413799999999995]","[0.0, 0.6369, 0.4199, 0.9078, 0.8774, 0.4612, 0.8313, 0.8885]","[0.0, 0.0, 0.4215, 0.8999, 0.0, 0.0, 0.1531, 0.7906]",0.627875,0.2831375,81.41360125,84.8416816106215,83.6140311030553,84.5970795931795,80.0650982887435
"42",41,204,772,"ai","yes",61,20,5,95,100,90,90,10,100,2,2,NA,42,"",90,75,90,2,"",2,NA,3,NA,55,2,NA,70,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",12,12,"[5, 12, 9, 18, 17, 19, 12, 19, 20, 12, 17, 9]","[6, 19, 25, 23, 50, 28, 25, 19, 27, 28, 22, 18]",14.0833333333333,24.1666666666667,850,1553,"[37.995148, 7.556759000000001, 41.474708, 80.189606, 64.023492, -12.992948, 23.942196000000003, 88.984681, 0.3773839999999993, 13.875916999999998, 51.162446]","[0.7712, 0.2003, -0.2429, 0.7088, 0.9471, -0.11, 0.9401, 0.9322, 0.9097, 0.8461, 0.9323, 0.8172]","[0.0, 0.6588, 0.0, 0.0, 0.0, 0.0, 0.4404, 0.4019, 0.0, 0.0, 0.0, 0.4215]",0.637675,0.160216666666667,36.0535808181818,79.3769075985477,68.4022972795127,78.7140427409134,65.2223975195919
"43",42,205,802,"ai","yes",100,50,10,50,100,100,0,0,100,2,2,NA,43,"",0,0,0,2,"",2,NA,2,NA,37,5,NA,75,2,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",22,23,"[8, 6, 10, 3, 13, 1, 19, 7, 13, 1, 27, 5, 10, 16, 8, 21, 5, 10, 16, 13, 16, 18]","[5, 12, 7, 12, 4, 25, 2, 24, 18, 75, 16, 35, 2, 19, 27, 19, 31, 70, 30, 27, 75, 17, 18]",11.1818181818182,24.7826086956522,1206,3200,"[37.874791, 11.97943, 3.1936039999999997, 4.276816, 53.129942, -11.641698, 62.388631, -8.895897999999999, -4.218583999999999, 27.985825999999996, 6.814684, 11.146460000000001, 60.326688, -9.358877, -7.610564, -40.903356, 0.6744449999999986, 17.952183, 49.708229, 11.671619]","[0.0, 0.6476, 0.4019, 0.8932, 0.6588, 0.9074, 0.4588, 0.9378, 0.8858, 0.6705, 0.8718, 0.7281, 0.5093, 0.928, 0.9449, 0.9331, 0.9649, 0.7177, 0.9644, 0.9551, 0.9348, 0.9133, 0.9335]","[0.4926, 0.0, 0.5574, 0.0, 0.3612, 0.4404, 0.6697, 0.6124, 0.6369, 0.0, 0.0, 0.0, 0.6486, 0.4019, 0.4019, 0.9107, 0.7717, 0.6369, 0.8823, 0.7269, 0.7003, 0.3612]",0.772204347826087,0.464227272727273,13.82471855,68.9108408298187,60.3735058572891,87.5538839262872,84.0787659523223
"44",43,206,832,"ai","yes",0,0,0,100,0,0,100,0,100,2,2,NA,44,"",100,100,100,2,"",2,NA,4,NA,34,4,NA,0,2,1,1,"Anonymized","Anonymized","Anonymized",26,27,"[3, 1, 11, 5, 13, 5, 3, 1, 8, 9, 6, 10, 7, 7, 10, 11, 6, 4, 5, 11, 1, 21, 13, 4, 7, 1]","[5, 9, 7, 17, 20, 23, 17, 8, 23, 12, 19, 25, 14, 14, 22, 20, 18, 6, 11, 10, 19, 12, 21, 11, 9, 11, 17]",7.03846153846154,14.8148148148148,869,2044,"[-0.5717500000000002, 3.5539699999999996, 16.261368, 26.290553000000003, -6.840076999999999, 3.767259000000001, 1.1377639999999998, -8.531419, -2.6002459999999994, 2.7615680000000005, 6.295646, 3.350050999999999, 15.143154, 33.103152, 15.309781000000003, 19.714447999999997, 21.927491000000003, 32.649636, 13.101023, 54.353210000000004, 28.794536, 29.246921999999998, 18.248674, 6.578614]","[0.0, 0.807, 0.6369, 0.3699, 0.0356, 0.4019, 0.6437, 0.0, 0.6571, 0.3132, -0.101, 0.5859, -0.8885, 0.0341, 0.7717, 0.5574, 0.8047, -0.0772, 0.3818, -0.0772, 0.4939, -0.0772, -0.8428, 0.5423, -0.3732, 0.6705, 0.7497]","[0.0, 0.0, 0.2168, 0.0, -0.1028, 0.3612, -0.636, 0.0, -0.6715, 0.0, -0.5574, -0.4576, -0.6486, -0.0762, 0.1531, 0.0, 0.0, 0.0, 0.0, -0.5255, 0.0, -0.7717, -0.8031, 0.0, 0.0, 0.0]",0.260007407407407,-0.173819230769231,13.8768886666667,69.5298404941329,58.9259007587515,73.0259455318018,85.2404161656574
